FILE_NAME	TRAIT	
alka_phos	alkaline phosphatase
apo_a	apolipoprotein-A
basal_metabolic	basal metabolic rate
blood_mch	mean corpuscular hemoglobin
blood_monocyte	monocyte count
blood_mpv	mean platelet volume
blood_mscv	mean sphered corpuscular volume
blood_platelet	platelet count
blood_platelet_distrib_width	platelet distribution width
blood_rbc_count	red blood cell count
blood_reticulocyte	high light scatter reticulocyte count
bmd_heel_tscore	bone mineral density (heel T-score)
bmi	body mass index
c_reactive_prot	C-reactive protein
corneal_hysteresis	corneal hysteresis
cystatin_c	cystatin C
fvc	forced vital capacity
ggt	gamma-glutamyltransferase
hair_color	hair color
hba1c	hemoglobin A1C
hdl	high density lipoprotein
height	standing height
igf1	insulin-like growth factor-1
shbg	sex hormone binding globulin
urate	urate
